total_cases,total_deaths,total_vaccinations,people_vaccinated,people_fully_vaccinated,date
255619,5743,0.0,0.0,0.0,2021-03-19
254507,5726,0.0,0.0,0.0,2021-03-18
253310,5709,0.0,0.0,0.0,2021-03-17
251865,5697,0.0,0.0,0.0,2021-03-16
274054,5967,0.0,0.0,0.0,2021-04-01
271632,5947,0.0,0.0,0.0,2021-03-31
269009,5928,0.0,0.0,0.0,2021-03-30
267522,5911,0.0,0.0,0.0,2021-03-29
267222,5893,0.0,0.0,0.0,2021-03-28
265901,5872,0.0,0.0,0.0,2021-03-27
264111,5854,0.0,0.0,0.0,2021-03-26
262309,5838,0.0,0.0,0.0,2021-03-25
260636,5828,0.0,0.0,0.0,2021-03-24
288364,6235,0.0,0.0,0.0,2021-04-09
285765,6185,0.0,0.0,0.0,2021-04-08
282548,6149,0.0,0.0,0.0,2021-04-07
280899,6113,0.0,0.0,0.0,2021-04-06
280164,6083,0.0,0.0,0.0,2021-04-05
280026,6058,0.0,0.0,0.0,2021-04-04
278650,6025,0.0,0.0,0.0,2021-04-03
276416,5996,0.0,0.0,0.0,2021-04-02
307790,6562,0.0,0.0,0.0,2021-04-18
306225,6523,0.0,0.0,0.0,2021-04-17
303598,6486,0.0,0.0,0.0,2021-04-16
300900,6442,0.0,0.0,0.0,2021-04-15
297973,6399,0.0,0.0,0.0,2021-04-14
294874,6358,0.0,0.0,0.0,2021-04-13
292938,6333,0.0,0.0,0.0,2021-04-12
292516,6308,0.0,0.0,0.0,2021-04-11
290899,6269,0.0,0.0,0.0,2021-04-10
323036,6905,0.0,0.0,0.0,2021-04-26
322626,6854,0.0,0.0,0.0,2021-04-25
321372,6815,0.0,0.0,0.0,2021-04-24
318837,6784,0.0,0.0,0.0,2021-04-23
316308,6738,0.0,0.0,0.0,2021-04-22
313423,6692,0.0,0.0,0.0,2021-04-21
310306,6643,0.0,0.0,0.0,2021-04-20
308200,6601,0.0,0.0,0.0,2021-04-19
336918,7264,0.0,0.0,0.0,2021-05-04
335522,7218,0.0,0.0,0.0,2021-05-03
335173,7182,0.0,0.0,0.0,2021-05-02
334229,7130,0.0,0.0,0.0,2021-05-01
332183,7081,0.0,0.0,0.0,2021-04-30
330176,7040,0.0,0.0,0.0,2021-04-29
327737,7001,0.0,0.0,0.0,2021-04-28
324833,6957,0.0,0.0,0.0,2021-04-27
345623,7549,0.0,0.0,0.0,2021-05-11
344747,7503,0.0,0.0,0.0,2021-05-10
344494,7469,0.0,0.0,0.0,2021-05-09
343829,7424,1078760.0,835320.0,243440.0,2021-05-08
342487,7388,1025701.0,796909.0,228792.0,2021-05-07
341052,7355,0.0,0.0,0.0,2021-05-06
339412,7315,0.0,0.0,0.0,2021-05-05
351997,7792,1406279.0,1078103.0,328176.0,2021-05-19
350997,7765,1369969.0,1052032.0,317937.0,2021-05-18
350506,7738,1349447.0,1041215.0,308232.0,2021-05-17
350390,7708,0.0,0.0,0.0,2021-05-16
349910,7687,0.0,0.0,0.0,2021-05-15
349084,7664,0.0,0.0,0.0,2021-05-14
348158,7623,0.0,0.0,0.0,2021-05-13
347094,7589,0.0,0.0,0.0,2021-05-12
355617,7992,1686585.0,1240309.0,446276.0,2021-05-28
355296,7981,1645332.0,1221109.0,424223.0,2021-05-27
354921,7971,1608291.0,1197164.0,411127.0,2021-05-26
354383,7950,1605287.0,1195088.0,410199.0,2021-05-25
354060,7929,1582821.0,1181255.0,401566.0,2021-05-24
353986,7903,1581292.0,1179998.0,401294.0,2021-05-23
353735,7883,1549368.0,1157655.0,391713.0,2021-05-22
353217,7856,1507353.0,1149941.0,357412.0,2021-05-21
352692,7828,1450169.0,1109161.0,341008.0,2021-05-20
357408,8080,1885772.0,1329754.0,556018.0,2021-06-05
357197,8067,1855003.0,1317038.0,537965.0,2021-06-04
357109,8056,1847314.0,1312272.0,535042.0,2021-06-03
356829,8042,1803557.0,1293847.0,509710.0,2021-06-02
356397,8034,1773289.0,1280300.0,492989.0,2021-06-01
